url,asin,priority_score,source,rank,category,title
https://www.amazon.ae/Hisense-Freezer-FC-19DT4SAT-Compressor-Warranty/dp/B0BZHLP65Y,B0BZHLP65Y,120.0,movers_shakers,5,Appliances,AED 540.00
https://www.amazon.ae/Wristbands-Adjustable-Protector-Lightweight-Breathable/dp/B0CGMZ8927,B0CGMZ8927,120.0,movers_shakers,5,Electronics,AED 19.59-AED 60.00
https://www.amazon.ae/MOMENT-Universal-England-Adapter-Converter/dp/B0FBKKFF6Y,B0FBKKFF6Y,120.0,movers_shakers,5,Electronics,AED 4.95-AED 15.00
https://www.amazon.ae/Doms-Sheets-Subject-Notebook-Size/dp/B0F93TLV8D,B0F93TLV8D,120.0,movers_shakers,5,Office Products,AED 15.25
https://www.amazon.ae/PINKE-2026-2027-Calendar-18-Month-Organizing/dp/B0FP2Q17S9,B0FP2Q17S9,120.0,movers_shakers,5,Office Products,AED 44.01
https://www.amazon.ae/Dettol-Hand-Wash-Pack-200ml/dp/B07PQ61F7Q,B07PQ61F7Q,120.0,movers_shakers,5,Beauty,AED 34.70
https://www.amazon.ae/Scotch-FixTM-Double-Sided-Mounting-414H-XTEXT-EU-25mmx1-5m/dp/B0FFBGH3KF,B0FFBGH3KF,115.0,bestsellers,8,Tools & Home Improvement,AED 17.50
https://www.amazon.ae/Share-Love-Packaging-Shipping-Supplies/dp/B0FRMPH47F,B0FRMPH47F,115.0,bestsellers,8,Tools & Home Improvement,AED 7.95
https://www.amazon.ae/Apple-MX532ZE-A-AirTag-Pack/dp/B093Q75MN3,B093Q75MN3,115.0,bestsellers,8,Electronics,AED 120.00
https://www.amazon.ae/Hollyland-Wireless-Microphone-Cancellation-Streaming/dp/B0CP7QXWPN,B0CP7QXWPN,115.0,bestsellers,8,Electronics,AED 369.00
https://www.amazon.ae/Ring-Security-Two-Way-Privacy-alternative/dp/B0CRM984YV,B0CRM984YV,115.0,bestsellers,8,Amazon Devices & Accessories,AED 249.00
https://www.amazon.ae/SAMSUNG-Display-Watchfaces-Exercise-International/dp/B0CW3VJFPN,B0CW3VJFPN,115.0,bestsellers,8,Amazon Devices & Accessories,AED 147.00
https://www.amazon.ae/Deliveroo-Gift-Card-350-Delivered/dp/B0FNCZPW8K,B0FNCZPW8K,115.0,bestsellers,8,Gift Cards,AED 350.00
https://www.amazon.ae/Johnsons-Baby-Wipes-Hydrating-Dermatologically/dp/B07P5ZLST7,B07P5ZLST7,115.0,bestsellers,8,Baby Products,
https://www.amazon.ae/Wappa-Cabinets-Adhesive-Installation-Drilling/dp/B017YJBSIW,B017YJBSIW,115.0,bestsellers,8,Baby Products,AED 19.00
https://www.amazon.ae/Nutricook-Dishwasher-Safe-Food-Grade-Stainless-NC-SP150/dp/B0DWSTKZQ7,B0DWSTKZQ7,115.0,bestsellers,8,See More,AED 129.00
https://www.amazon.ae/CLEVAST-Moisture-Absorbers-Packets-230g/dp/B0D5D21GZ4,B0D5D21GZ4,115.0,movers_shakers,6,Kitchen,AED 44.00-AED 49.00
https://www.amazon.ae/Packwell-Plastic-Disposable-Table-Pieces/dp/B0CM9SRGCL,B0CM9SRGCL,115.0,bestsellers,8,See More,AED 3.50
https://www.amazon.ae/Logitech-Wireless-Receiver-12-Months-AmbidextroUS/dp/B01A9GXEOI,B01A9GXEOI,115.0,bestsellers,8,Computers,AED 38.95
https://www.amazon.ae/Apple-MacBook-13-inch-10-core-Unified/dp/B0DZDGR2DR,B0DZDGR2DR,115.0,bestsellers,8,Computers,"AED 3,339.00"
https://www.amazon.ae/AMERTEER-Adjustable-Refrigerator-Heavy-Duty-Refrigerators/dp/B0CNVSF7NF,B0CNVSF7NF,115.0,bestsellers,8,See More,AED 49.49
https://www.amazon.ae/Portable-Shoe-Clothes-Washing-Machine/dp/B0847PX8YM,B0847PX8YM,115.0,bestsellers,8,See More,AED 195.00
https://www.amazon.ae/ARMOR-10346-Orange-Cleaner-Washing/dp/B001GJ9K8C,B001GJ9K8C,115.0,bestsellers,8,Automotive,AED 44.79
https://www.amazon.ae/LISEN-Magsafe-Magnetic-Accessories-Interior/dp/B0F6D28F7R,B0F6D28F7R,115.0,bestsellers,8,Automotive,AED 71.98
https://www.amazon.ae/Skillmatics-Foil-Fun-Unicorns-Princesses/dp/B0BVMZHYFN,B0BVMZHYFN,115.0,bestsellers,8,Toys,AED 55.00
https://www.amazon.ae/AMERTEER-Pcs-Counting-Dinosaurs-Toys/dp/B0CH8NXTYW,B0CH8NXTYW,115.0,bestsellers,8,Toys,AED 20.69
https://www.amazon.ae/UGREEN-Charger-Foldable-Charging-Compatible/dp/B0B7N4DX1Z,B0B7N4DX1Z,115.0,bestsellers,8,Mobile Phones & Communication Products,AED 89.00
https://www.amazon.ae/UGREEN-Retractable-Charger-Charging-Automobile/dp/B0DG8SMD4Y,B0DG8SMD4Y,115.0,bestsellers,8,Mobile Phones & Communication Products,AED 89.80
https://www.amazon.ae/Vileda-3action-Supermocio-Versatile-Microfiber/dp/B00EKTDJYG,B00EKTDJYG,115.0,bestsellers,8,Home,AED 21.88
https://www.amazon.ae/Royalford-Floor-Broom-Strong-Handle/dp/B07PM1QPZZ,B07PM1QPZZ,115.0,bestsellers,8,Home,
https://www.amazon.ae/I-Love-You-Moon-Back/dp/1589255518,1589255518,115.0,bestsellers,8,Books,Board book
https://www.amazon.ae/PURINA-Felix-Doubly-Delicious-Selection/dp/B0C6YH99LF,B0C6YH99LF,115.0,bestsellers,8,Pet Supplies,AED 33.99
https://www.amazon.ae/SKY-TOUCH-Anti-Splashing-Filtered-Detachable-Cleaning/dp/B0CTGWYVL5,B0CTGWYVL5,115.0,bestsellers,8,Pet Supplies,AED 26.00
https://www.amazon.ae/Nike-Unisex-Adult-Nk-Cush-Crew/dp/B006WFRDQ6,B006WFRDQ6,115.0,bestsellers,8,Fashion,AED 50.00
